Year,Date,Block,Treatment,Plant,PM_Cones,Incidence
2018,9/6/2018,I,1,1,1,0.06667
2018,9/6/2018,I,1,2,1,0.06667
2018,9/6/2018,I,1,3,2,0.13333
2018,9/6/2018,I,1,4,4,0.26667
2018,9/6/2018,I,1,5,3,0.2
2018,9/6/2018,II,1,1,1,0.06667
2018,9/6/2018,II,1,2,3,0.2
2018,9/6/2018,II,1,3,0,0
2018,9/6/2018,II,1,4,4,0.26667
2018,9/6/2018,II,1,5,1,0.06667
2018,9/6/2018,III,1,1,1,0.06667
2018,9/6/2018,III,1,2,2,0.13333
2018,9/6/2018,III,1,3,0,0
2018,9/6/2018,III,1,4,0,0
2018,9/6/2018,III,1,5,1,0.06667
2018,9/6/2018,IV,1,1,1,0.06667
2018,9/6/2018,IV,1,2,0,0
2018,9/6/2018,IV,1,3,1,0.06667
2018,9/6/2018,IV,1,4,0,0
2018,9/6/2018,IV,1,5,0,0
2018,9/6/2018,V,1,1,6,0.4
2018,9/6/2018,V,1,2,7,0.46667
2018,9/6/2018,V,1,3,2,0.13333
2018,9/6/2018,V,1,4,0,0
2018,9/6/2018,V,1,5,0,0
2018,9/6/2018,VI,1,1,0,0
2018,9/6/2018,VI,1,2,0,0
2018,9/6/2018,VI,1,3,1,0.06667
2018,9/6/2018,VI,1,4,1,0.06667
2018,9/6/2018,VI,1,5,0,0
2018,9/6/2018,VII,1,1,1,0.06667
2018,9/6/2018,VII,1,2,2,0.13333
2018,9/6/2018,VII,1,3,0,0
2018,9/6/2018,VII,1,4,0,0
2018,9/6/2018,VII,1,5,0,0
2018,9/6/2018,I,2,1,0,0
2018,9/6/2018,I,2,2,2,0.13333
2018,9/6/2018,I,2,3,0,0
2018,9/6/2018,I,2,4,3,0.2
2018,9/6/2018,I,2,5,1,0.06667
2018,9/6/2018,II,2,1,0,0
2018,9/6/2018,II,2,2,0,0
2018,9/6/2018,II,2,3,2,0.13333
2018,9/6/2018,II,2,4,3,0.2
2018,9/6/2018,II,2,5,1,0.06667
2018,9/6/2018,III,2,1,0,0
2018,9/6/2018,III,2,2,3,0.2
2018,9/6/2018,III,2,3,0,0
2018,9/6/2018,III,2,4,0,0
2018,9/6/2018,III,2,5,1,0.06667
2018,9/6/2018,IV,2,1,0,0
2018,9/6/2018,IV,2,2,1,0.06667
2018,9/6/2018,IV,2,3,0,0
2018,9/6/2018,IV,2,4,0,0
2018,9/6/2018,IV,2,5,1,0.06667
2018,9/6/2018,V,2,1,1,0.06667
2018,9/6/2018,V,2,2,1,0.06667
2018,9/6/2018,V,2,3,1,0.06667
2018,9/6/2018,V,2,4,0,0
2018,9/6/2018,V,2,5,2,0.13333
2018,9/6/2018,VI,2,1,1,0.06667
2018,9/6/2018,VI,2,2,0,0
2018,9/6/2018,VI,2,3,1,0.06667
2018,9/6/2018,VI,2,4,1,0.06667
2018,9/6/2018,VI,2,5,1,0.06667
2018,9/6/2018,VII,2,1,1,0.06667
2018,9/6/2018,VII,2,2,0,0
2018,9/6/2018,VII,2,3,2,0.13333
2018,9/6/2018,VII,2,4,0,0
2018,9/6/2018,VII,2,5,0,0
2018,9/6/2018,I,3,1,0,0
2018,9/6/2018,I,3,2,0,0
2018,9/6/2018,I,3,3,0,0
