Year,Date,Field,Block,Treatment,DM,_Alpha,_Beta,HSI,Oil,Color
2018,9/6/2018,Nugget3,I,1,21.5535,16.1,4.23873,0.24115,2.63449,9
2018,9/6/2018,Nugget3,II,1,19.6517,16.2,3.7722,0.22618,2.72886,10
2018,9/6/2018,Nugget3,III,1,21.6664,14.9,3.69137,0.23313,2.61475,9
2018,9/6/2018,Nugget3,IV,1,21.2552,14.9,3.69137,0.23313,2.61475,9
2018,9/6/2018,Nugget3,V,1,21.5447,16.1,4.23873,0.24115,2.63449,9
2018,9/6/2018,Nugget3,VI,1,20.8687,16.1,4.23873,0.24115,2.63449,9
2018,9/6/2018,Nugget3,VII,1,20.8828,16.1,4.23873,0.24115,2.63449,9
2018,9/6/2018,Nugget3,I,2,20.8815,14.6,4.33484,0.24398,2.73274,9
2018,9/6/2018,Nugget3,II,2,21.5038,15.2,4.45384,0.23547,2.72076,8
2018,9/6/2018,Nugget3,III,2,20.9478,14.1,4.23505,0.25336,2.29956,9
2018,9/6/2018,Nugget3,IV,2,22.7312,14.1,4.23505,0.25336,2.29956,9
2018,9/6/2018,Nugget3,V,2,21.0759,14.6,4.33484,0.24398,2.73274,9
2018,9/6/2018,Nugget3,VI,2,21.0896,14.6,4.33484,0.24398,2.73274,9
2018,9/6/2018,Nugget3,VII,2,21.3501,14.6,4.33484,0.24398,2.73274,9
2018,9/6/2018,Nugget3,I,3,22.0339,16.1,4.03881,0.2433,2.70235,9
2018,9/6/2018,Nugget3,II,3,21.8847,16.1,4.36022,0.25296,2.8779,9
2018,9/6/2018,Nugget3,III,3,21.2639,15.2,3.77546,0.22012,2.87308,10
2018,9/6/2018,Nugget3,IV,3,22.0204,15.2,3.77546,0.22012,2.87308,10
2018,9/6/2018,Nugget3,V,3,21.7065,16.1,4.03881,0.2433,2.70235,9
2018,9/6/2018,Nugget3,VI,3,21.8592,16.1,4.03881,0.2433,2.70235,9
2018,9/6/2018,Nugget3,VII,3,21.6052,16.1,4.03881,0.2433,2.70235,9
2018,9/6/2018,Nugget3,I,4,20.8568,14.8,4.23407,0.24453,2.40098,9
2018,9/6/2018,Nugget3,II,4,20.8153,15.8,4.18836,0.24242,3.06242,9
2018,9/6/2018,Nugget3,III,4,20.7399,15.8,4.02836,0.22896,3.02774,8
2018,9/6/2018,Nugget3,IV,4,9.8008,15.8,4.02836,0.22896,3.02774,8
2018,9/6/2018,Nugget3,V,4,21.0288,14.8,4.23407,0.24453,2.40098,9
2018,9/6/2018,Nugget3,VI,4,44.2731,14.8,4.23407,0.24453,2.40098,9
2018,9/6/2018,Nugget3,VII,4,20.8401,14.8016,4.23407,0.24453,2.40098,9
2019,9/7/2019,Nugget13,I,1,.,.,.,.,.,.
2019,9/7/2019,Nugget13,II,1,.,.,.,.,.,.
2019,9/7/2019,Nugget13,III,1,.,.,.,.,.,.
2019,9/7/2019,Nugget13,IV,1,.,.,.,.,.,.
2019,9/7/2019,Nugget13,V,1,.,.,.,.,.,.
2019,9/7/2019,Nugget13,VI,1,.,.,.,.,.,.
2019,9/7/2019,Nugget13,VII,1,.,.,.,.,.,.
2019,9/7/2019,Nugget13,I,2,28.0112,14,5.1,0.249,.,5
2019,9/7/2019,Nugget13,II,2,23.7351,15.7,5.4,0.242,.,5
2019,9/7/2019,Nugget13,III,2,27.0846,15.3,5.5,0.242,.,4
2019,9/7/2019,Nugget13,IV,2,24.9878,15.2,5.5,0.243,.,4
2019,9/7/2019,Nugget13,V,2,21.4765,15.5,5.5,0.245,.,5
2019,9/7/2019,Nugget13,VI,2,26.4619,14.8,5.2,0.242,.,5
2019,9/7/2019,Nugget13,VII,2,27.2765,14.4,5.3,0.242,.,5
2019,9/7/2019,Nugget13,I,3,21.0582,15.6,5.5,0.245,.,5
2019,9/7/2019,Nugget13,II,3,25.6524,15.2,5.4,0.243,.,5
2019,9/7/2019,Nugget13,III,3,23.261,14.9,5.5,0.251,.,5
2019,9/7/2019,Nugget13,IV,3,31.26,14.7,5.5,0.249,.,6
2019,9/7/2019,Nugget13,V,3,26.4788,15.2,5.6,0.251,.,5
2019,9/7/2019,Nugget13,VI,3,28.257,15.2,5.5,0.248,.,6
2019,9/7/2019,Nugget13,VII,3,24.7587,15.2,5.5,0.245,.,5
2019,9/7/2019,Nugget13,I,4,27.54,15.6,5.5,0.242,.,5
2019,9/7/2019,Nugget13,II,4,22.8433,15.2,5.5,0.243,.,4
2019,9/7/2019,Nugget13,III,4,25.9862,15,5.3,0.242,.,5
2019,9/7/2019,Nugget13,IV,4,25.2765,14.4,5.1,0.248,.,5
2019,9/7/2019,Nugget13,V,4,22.6147,12.9,4.9,0.249,.,5
2019,9/7/2019,Nugget13,VI,4,22.6836,14.3,5.1,0.24,.,5
2019,9/7/2019,Nugget13,VII,4,23.4767,15,5.3,0.238,.,6
2020,9/4/2020,Nugget13,I,1,26.1,16.8,4.6,0.237,2.1,6
2020,9/4/2020,Nugget13,II,1,24.9,16.9,4.6,0.228,2.3,5
2020,9/4/2020,Nugget13,III,1,21.7,15.9,4.9,0.25,2.6,5
2020,9/4/2020,Nugget13,IV,1,24.8,14.6,4.2,0.223,2,5
2020,9/4/2020,Nugget13,V,1,23.9,16.6,4.6,0.235,2.1,6
2020,9/4/2020,Nugget13,VI,1,25.1,15.5,4.5,0.237,2.1,5
2020,9/4/2020,Nugget13,VII,1,24.2,16.2,4.9,0.236,2.3,6
2020,9/4/2020,Nugget13,I,2,25.8,17.6,5,0.238,2.3,5
2020,9/4/2020,Nugget13,II,2,23.2,15.7,4.9,0.24,2.2,5
2020,9/4/2020,Nugget13,III,2,22,16.4,4.4,0.229,2.3,5
2020,9/4/2020,Nugget13,IV,2,24.2,15.6,5,0.236,2.3,6
2020,9/4/2020,Nugget13,V,2,23.4,16.3,4.6,0.229,1.9,5
2020,9/4/2020,Nugget13,VI,2,24.8,15.8,4.5,0.236,2.6,6
2020,9/4/2020,Nugget13,VII,2,24,16.4,4.8,0.241,2.2,5
2020,9/4/2020,Nugget13,I,3,24.3,16.4,4.8,0.227,2,6
2020,9/4/2020,Nugget13,II,3,24.8,17.1,4.6,0.224,2,5
2020,9/4/2020,Nugget13,III,3,24.6,15.4,4.5,0.233,2.2,6
