Year,Date,SU,Block,Treatment,Plant,PM,RAUDPC,Rating
2018,8/6/2018,Leaf,I,1,1,0,0,1
2018,8/6/2018,Leaf,I,1,2,0,0,1
2018,8/6/2018,Leaf,I,1,3,0,0,1
2018,8/6/2018,Leaf,I,1,4,0,0,1
2018,8/6/2018,Leaf,I,1,5,0,0,1
2018,8/6/2018,Leaf,I,1,6,1,0.02083,1
2018,8/6/2018,Leaf,I,1,7,0,0,1
2018,8/6/2018,Leaf,I,1,8,0,0,1
2018,8/6/2018,Leaf,I,2,1,0,0,1
2018,8/6/2018,Leaf,I,2,2,0,0.02917,1
2018,8/6/2018,Leaf,I,2,3,0,0,1
2018,8/6/2018,Leaf,I,2,4,0,0,1
2018,8/6/2018,Leaf,I,2,5,0,0,1
2018,8/6/2018,Leaf,I,2,6,0,0,1
2018,8/6/2018,Leaf,I,2,7,0,0,1
2018,8/6/2018,Leaf,I,2,8,2,0.04167,1
2018,8/6/2018,Leaf,I,3,1,0,0,1
2018,8/6/2018,Leaf,I,3,2,0,0,1
2018,8/6/2018,Leaf,I,3,3,0,0,1
2018,8/6/2018,Leaf,I,3,4,0,0,1
2018,8/6/2018,Leaf,I,3,5,0,0,1
2018,8/6/2018,Leaf,I,3,6,0,0,1
2018,8/6/2018,Leaf,I,3,7,0,0,1
2018,8/6/2018,Leaf,I,3,8,0,0,1
2018,8/6/2018,Leaf,I,4,1,0,0,1
2018,8/6/2018,Leaf,I,4,2,0,0,1
2018,8/6/2018,Leaf,I,4,3,0,0,1
2018,8/6/2018,Leaf,I,4,4,0,0,1
2018,8/6/2018,Leaf,I,4,5,0,0,1
2018,8/6/2018,Leaf,I,4,6,0,0,1
2018,8/6/2018,Leaf,I,4,7,0,0,1
2018,8/6/2018,Leaf,I,4,8,0,0,1
2018,8/6/2018,Leaf,II,1,1,0,0,1
2018,8/6/2018,Leaf,II,1,2,0,0,1
2018,8/6/2018,Leaf,II,1,3,1,0.02083,1
2018,8/6/2018,Leaf,II,1,4,0,0,1
2018,8/6/2018,Leaf,II,1,5,0,0,1
2018,8/6/2018,Leaf,II,1,6,0,0,1
2018,8/6/2018,Leaf,II,1,7,0,0,1
2018,8/6/2018,Leaf,II,1,8,0,0,1
2018,8/6/2018,Leaf,II,2,1,0,0,1
2018,8/6/2018,Leaf,II,2,2,0,0,1
2018,8/6/2018,Leaf,II,2,3,0,0,1
2018,8/6/2018,Leaf,II,2,4,0,0,1
2018,8/6/2018,Leaf,II,2,5,0,0,1
2018,8/6/2018,Leaf,II,2,6,0,0,1
2018,8/6/2018,Leaf,II,2,7,0,0,1
2018,8/6/2018,Leaf,II,2,8,1,0.02083,1
2018,8/6/2018,Leaf,II,3,1,0,0,1
2018,8/6/2018,Leaf,II,3,2,0,0,1
2018,8/6/2018,Leaf,II,3,3,0,0,1
2018,8/6/2018,Leaf,II,3,4,1,0.02083,1
2018,8/6/2018,Leaf,II,3,5,0,0,1
2018,8/6/2018,Leaf,II,3,6,1,0.02083,1
2018,8/6/2018,Leaf,II,3,7,1,0.02083,1
2018,8/6/2018,Leaf,II,3,8,0,0,1
2018,8/6/2018,Leaf,II,4,1,0,0,1
2018,8/6/2018,Leaf,II,4,2,0,0,1
2018,8/6/2018,Leaf,II,4,3,1,0.02083,1
2018,8/6/2018,Leaf,II,4,4,0,0,1
2018,8/6/2018,Leaf,II,4,5,0,0,1
2018,8/6/2018,Leaf,II,4,6,0,0,1
2018,8/6/2018,Leaf,II,4,7,0,0,1
2018,8/6/2018,Leaf,II,4,8,0,0,1
2018,8/6/2018,Leaf,III,1,1,0,0,1
2018,8/6/2018,Leaf,III,1,2,0,0,1
2018,8/6/2018,Leaf,III,1,3,0,0,1
2018,8/6/2018,Leaf,III,1,4,0,0,1
2018,8/6/2018,Leaf,III,1,5,0,0,1
2018,8/6/2018,Leaf,III,1,6,0,0,1
2018,8/6/2018,Leaf,III,1,7,0,0,1
2018,8/6/2018,Leaf,III,1,8,0,0,1
2018,8/6/2018,Leaf,III,2,1,0,0,1
2018,8/6/2018,Leaf,III,2,2,0,0,1
2018,8/6/2018,Leaf,III,2,3,0,0,1
2018,8/6/2018,Leaf,III,2,4,0,0,1
2018,8/6/2018,Leaf,III,2,5,0,0,1
2018,8/6/2018,Leaf,III,2,6,0,0,1
2018,8/6/2018,Leaf,III,2,7,0,0,1
2018,8/6/2018,Leaf,III,2,8,0,0,1
2018,8/6/2018,Leaf,III,3,1,0,0,1
2018,8/6/2018,Leaf,III,3,2,0,0,1
2018,8/6/2018,Leaf,III,3,3,0,0,1
2018,8/6/2018,Leaf,III,3,4,0,0,1
2018,8/6/2018,Leaf,III,3,5,0,0,1
2018,8/6/2018,Leaf,III,3,6,0,0,1
2018,8/6/2018,Leaf,III,3,7,0,0,1
2018,8/6/2018,Leaf,III,3,8,0,0,1
2018,8/6/2018,Leaf,III,4,1,0,0,1
2018,8/6/2018,Leaf,III,4,2,0,0,1
2018,8/6/2018,Leaf,III,4,3,0,0,1
